# Phi_st Means
	AI	FMC	HI	PI	SC	SH
AI		0.145666	0.0757415	0.0175756	0.169257	0.147038
FMC			0.159102	0.138304	0.0223954	0.0274244
HI				0.0435738	0.175215	0.160971
PI					0.155002	0.136722
SC						0.0488323

# Fst' Means
	AI	FMC	HI	PI	SC	SH
AI		0	0.0472284	0.00327339	0	0
FMC			0	0	0.00754179	0.0125384
HI				0.027299	0	0
PI					0	0
SC						0.02667

# Dxy Means
	AI	FMC	HI	PI	SC	SH
AI		0.0041663	0.00391877	0.00370185	0.00413224	0.00409211
FMC			0.0039546	0.00371186	0.00397582	0.00392156
HI				0.00338204	0.00382535	0.00392012
PI					0.00368468	0.00357679
SC						0.0040127
