h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
5.165944e-03	2.488641e-03	6.907106e-01	3.654974e-01	1.094954e-02	19	
2.599340e-01	1.691558e-01	6.488345e-01	2.404513e-01	1.288359e-02	17	
5.255281e-01	5.523607e-01	1.879702e-02	2.759227e-03	1.194665e-02	18	
9.325253e-02	7.586255e-02	2.470330e-01	7.700896e-02	6.002546e-03	9	
2.770860e-01	7.878512e-02	9.920250e-01	9.575691e-01	1.137421e-02	15	
1.857444e-02	1.105026e-02	5.434817e-01	5.033913e-02	7.486267e-03	8	
2.087080e-01	1.101084e-01	5.964975e-01	3.875708e-01	7.115792e-03	10	
3.656835e-01	5.024887e-02	9.969473e-01	9.742655e-01	1.082516e-02	13	
1.987739e-01	3.132801e-02	8.136178e-01	1.101741e-01	8.251498e-03	14	
6.114351e-03	3.185207e-03	6.016210e-01	9.725712e-02	6.815045e-03	9	
3.145515e-01	1.566467e-01	7.214415e-01	1.446043e-01	9.063662e-03	12	
4.979380e-01	8.531115e-02	9.286657e-01	5.182171e-01	9.687992e-03	9	
2.908194e-02	3.059828e-02	1.717209e-01	3.252508e-02	1.519503e-02	21	
8.040497e-01	5.427617e-01	5.868459e-01	2.206712e-01	1.109061e-02	12	
1.646581e-01	5.831141e-02	6.239069e-01	1.171241e-01	1.073513e-02	19	
3.201192e-01	8.736702e-02	8.609449e-01	2.663358e-01	1.140098e-02	11	
6.711922e-02	1.062817e-03	9.898686e-01	4.792128e-01	5.059763e-03	2	
4.768805e-01	3.970306e-01	3.925976e-01	2.429050e-01	6.693788e-03	8	
3.354339e-01	1.228663e-01	8.624546e-01	3.521169e-01	5.176788e-03	8	
5.065263e-01	3.284364e-01	4.472950e-01	1.004007e-01	4.355976e-03	7	
7.200828e-02	1.866179e-02	8.726134e-01	5.330415e-01	4.340143e-03	8	
4.260318e-03	5.200261e-04	8.823338e-01	3.326919e-01	4.512152e-03	9	
3.442687e-01	2.207073e-01	1.354853e-01	8.757640e-02	8.903937e-03	13	
8.764811e-01	7.734219e-01	4.946596e-01	2.546843e-01	4.352929e-03	8	
4.504280e-01	2.112978e-01	7.539448e-01	2.815364e-01	3.421231e-03	6	
4.542362e-01	1.161380e-01	9.883603e-01	9.355134e-01	4.484874e-03	6	
1.652204e-02	4.003377e-03	7.468023e-01	1.317727e-01	5.946692e-03	3	
6.215550e-01	2.756023e-01	7.848733e-01	5.403853e-02	2.686121e-03	5	
1.231215e-01	1.151035e-01	2.031460e-01	4.529321e-04	1.314824e-03	1	
9.852196e-01	9.473085e-01	6.108245e-01	1.484705e-01	9.769105e-04	2	
4.389208e-01	6.407729e-02	9.674967e-01	6.532222e-01	1.096389e-03	2	
2.120390e-01	1.704586e-01	3.273811e-02	9.027143e-03	3.517951e-03	5	
