h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
8.869232e-02	9.182371e-02	1.025023e-01	6.054848e-03	2.290045e-03	4	
3.064049e-02	3.426311e-02	1.211851e-01	2.018661e-03	3.919161e-03	2	
5.931120e-01	3.132188e-01	5.690851e-01	2.655408e-02	4.103684e-03	4	
2.459551e-01	1.885665e-01	2.350441e-01	3.514891e-03	4.392642e-03	3	
2.728231e-01	1.140729e-01	3.746588e-01	1.984206e-02	5.466113e-03	5	
5.874921e-02	4.543342e-02	2.924992e-01	1.300448e-02	4.535861e-03	4	
4.582502e-02	6.993503e-03	9.650784e-01	8.183431e-01	5.153262e-03	7	
5.585257e-01	1.978714e-01	7.162140e-01	1.074746e-01	4.324267e-03	5	
1.548640e-01	1.137227e-01	3.571351e-01	1.101095e-01	6.249997e-03	7	
9.575966e-02	1.290042e-01	6.927268e-02	8.533492e-03	6.309526e-03	7	
1.128006e-01	7.296301e-02	3.438320e-01	4.462911e-02	1.183414e-02	9	
1.621949e-01	5.296572e-02	9.083664e-01	7.618051e-01	1.116181e-02	20	
1.846101e-01	1.399087e-01	6.726722e-01	4.612852e-01	9.756187e-03	12	
4.414272e-02	2.692420e-02	2.882999e-01	1.379197e-01	1.281988e-02	12	
9.154231e-02	9.498015e-02	1.054237e-01	1.251014e-02	1.970393e-02	20	
6.776225e-01	4.689686e-01	9.307305e-01	8.031272e-01	1.239416e-02	28	
1.375069e-01	4.983606e-02	6.309479e-01	1.887376e-01	1.240938e-02	16	
8.340777e-01	5.827688e-01	9.593499e-01	7.494408e-01	1.620972e-02	20	
1.189051e-01	4.749513e-02	6.761518e-01	3.467948e-01	1.407544e-02	21	
1.264877e-01	1.005072e-01	2.012152e-01	8.042907e-02	6.401599e-03	11	
4.546215e-01	1.299453e-01	8.239545e-01	3.481940e-01	5.479001e-03	10	
4.889362e-02	4.147354e-02	2.111892e-01	2.544768e-02	7.989183e-03	7	
4.958588e-01	3.762269e-01	5.042748e-01	3.066075e-02	4.697055e-03	4	
3.905683e-01	2.831551e-01	3.060804e-01	6.834305e-02	4.718909e-03	7	
4.565735e-03	2.733733e-03	7.035023e-01	6.076745e-01	4.862946e-03	11	
1.206221e-01	1.068036e-01	2.461585e-01	1.925672e-01	2.834711e-03	3	
1.217528e-01	8.591286e-02	5.886014e-01	2.664491e-01	3.136849e-03	6	
7.477158e-01	6.488298e-01	9.481052e-02	2.622334e-02	4.054172e-03	6	
5.586167e-01	3.586967e-01	3.640343e-01	3.633962e-02	8.358046e-03	6	
1.736416e-01	1.358581e-01	1.049730e-01	2.012895e-02	8.087217e-03	14	
4.965219e-01	9.631916e-02	9.474209e-01	5.849734e-01	1.020769e-02	9	
3.019737e-01	1.577390e-01	6.887554e-01	1.373165e-01	6.007051e-03	12	
