# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Population SH	SH1,SH2,SH3,SH4,SH5,SH6
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
41	FMC	SH	scaffold3	41543	0.02041	0.02041	-1.00000	0.00415	0.00415	-1.00000	0.00672	0.00672	-1.00000	0.00246	0.00246	-1.00000
51	FMC	SH	scaffold6	944	0.21374	0.04225	-1.00000	0.41583	0.11054	-1.00000	0.44619	0.12528	-1.00000	0.01126	0.01271	-1.00000
69	FMC	SH	scaffold6	18570	0.00000	0.04096	-1.00000	-0.00833	0.10846	-1.00000	0.00569	0.12306	-1.00000	0.02160	0.01268	-1.00000
74	FMC	SH	scaffold6	37081	-0.06631	0.03961	-1.00000	-0.04165	0.10629	-1.00000	-0.03975	0.12075	-1.00000	0.00562	0.01265	-1.00000
87	FMC	SH	scaffold9	24002	0.06670	0.02224	-1.00000	0.06334	0.02683	-1.00000	0.04854	0.02098	-1.00000	0.00364	0.00186	-1.00000
91	FMC	SH	scaffold9	31026	-0.01158	0.02220	-1.00000	-0.00095	0.02679	-1.00000	0.00000	0.02095	-1.00000	0.00051	0.00186	-1.00000
112	FMC	SH	scaffold14	6643	0.01335	0.01335	-1.00000	0.00113	0.00113	-1.00000	0.00000	0.00000	-1.00000	0.00060	0.00060	-1.00000
119	FMC	SH	scaffold20	938	-0.01158	-0.03276	-1.00000	-0.00095	-0.03570	-1.00000	0.00000	-0.02952	-1.00000	0.00051	0.00189	-1.00000
122	FMC	SH	scaffold22	1370	-0.01158	-0.03276	-1.00000	-0.00095	-0.03570	-1.00000	0.00000	-0.02952	-1.00000	0.00051	0.00189	-1.00000
123	FMC	SH	scaffold22	1373	-0.09191	-0.03276	-1.00000	-0.09496	-0.03570	-1.00000	-0.06364	-0.02952	-1.00000	0.00410	0.00189	-1.00000
127	FMC	SH	scaffold22	2902	0.01335	-0.03277	-1.00000	0.00113	-0.03570	-1.00000	0.00000	-0.02953	-1.00000	0.00059	0.00189	-1.00000
142	FMC	SH	scaffold22	10350	-0.06688	-0.03278	-1.00000	-0.08758	-0.03573	-1.00000	-0.08679	-0.02956	-1.00000	0.00393	0.00189	-1.00000
203	FMC	SH	scaffold32	17465	0.11392	0.02482	-1.00000	0.03388	-0.00424	-1.00000	0.04027	0.02265	-1.00000	0.00466	0.00284	-1.00000
208	FMC	SH	scaffold32	26538	0.00767	0.02445	-1.00000	-0.04629	-0.00429	-1.00000	-0.04839	0.02289	-1.00000	0.00476	0.00283	-1.00000
235	FMC	SH	scaffold32	63943	-0.01158	0.02297	-1.00000	-0.00095	-0.00451	-1.00000	0.00000	0.02387	-1.00000	0.00051	0.00279	-1.00000
239	FMC	SH	scaffold32	69016	0.07438	0.02277	-1.00000	0.00797	-0.00454	-1.00000	0.05970	0.02400	-1.00000	0.00215	0.00279	-1.00000
256	FMC	SH	scaffold32	94893	0.07741	0.02177	-1.00000	0.04218	-0.00471	-1.00000	0.03883	0.02467	-1.00000	0.00174	0.00276	-1.00000
258	FMC	SH	scaffold32	98586	0.04050	0.02162	-1.00000	0.02940	-0.00473	-1.00000	0.01192	0.02477	-1.00000	0.00369	0.00276	-1.00000
259	FMC	SH	scaffold32	98589	-0.02593	0.02162	-1.00000	-0.00230	-0.00473	-1.00000	0.00000	0.02477	-1.00000	0.00051	0.00276	-1.00000
265	FMC	SH	scaffold32	105479	-0.09747	0.02136	-1.00000	-0.10672	-0.00477	-1.00000	0.10545	0.02494	-1.00000	0.00478	0.00275	-1.00000
