# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Population HI	HI1,HI2,HI3,HI4,HI5,HI6,HI7,HI8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	FMC	HI	scaffold3	20046	0.05038	0.05038	-1.00000	0.00000	0.00000	-1.00000	0.10345	0.10345	-1.00000	0.01821	0.01821	-1.00000
51	FMC	HI	scaffold6	944	0.31029	0.20726	-1.00000	0.00000	0.00000	-1.00000	0.42478	0.16228	-1.00000	0.00561	0.00963	-1.00000
56	FMC	HI	scaffold6	6281	0.33262	0.20696	-1.00000	0.00000	0.00000	-1.00000	0.21582	0.16193	-1.00000	0.00365	0.00963	-1.00000
69	FMC	HI	scaffold6	18570	0.10078	0.20628	-1.00000	0.00000	0.00000	-1.00000	0.01054	0.16111	-1.00000	0.03039	0.00963	-1.00000
73	FMC	HI	scaffold6	30749	0.29707	0.20561	-1.00000	0.00000	0.00000	-1.00000	0.10038	0.16030	-1.00000	0.00346	0.00963	-1.00000
74	FMC	HI	scaffold6	37081	0.01005	0.20526	-1.00000	0.00000	0.00000	-1.00000	0.07254	0.15989	-1.00000	0.00497	0.00963	-1.00000
87	FMC	HI	scaffold9	24002	0.00096	0.00026	-1.00000	0.00000	0.00000	-1.00000	-0.00704	-0.00223	-1.00000	0.00129	0.00076	-1.00000
91	FMC	HI	scaffold9	31026	0.00986	0.00026	-1.00000	0.00000	0.00000	-1.00000	0.00000	-0.00223	-1.00000	0.00051	0.00076	-1.00000
93	FMC	HI	scaffold9	31611	-0.01158	0.00026	-1.00000	0.00000	0.00000	-1.00000	0.00000	-0.00223	-1.00000	0.00051	0.00076	-1.00000
101	FMC	HI	scaffold11	7274	-0.02731	-0.02731	-1.00000	0.00000	0.00000	-1.00000	0.10699	0.10699	-1.00000	0.02060	0.02060	-1.00000
112	FMC	HI	scaffold14	6643	-0.00000	-0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00051	0.00051	-1.00000
119	FMC	HI	scaffold20	938	0.00986	0.12882	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.06335	-1.00000	0.00051	0.00187	-1.00000
122	FMC	HI	scaffold22	1370	0.00062	0.12882	-1.00000	0.00000	0.00000	-1.00000	-0.00515	0.06335	-1.00000	0.00095	0.00187	-1.00000
123	FMC	HI	scaffold22	1373	0.40584	0.12882	-1.00000	0.00000	0.00000	-1.00000	0.22388	0.06335	-1.00000	0.00308	0.00187	-1.00000
130	FMC	HI	scaffold22	4465	-0.02593	0.12883	-1.00000	0.00000	0.00000	-1.00000	-0.02990	0.06335	-1.00000	0.00215	0.00187	-1.00000
142	FMC	HI	scaffold22	10350	0.27605	0.12884	-1.00000	0.00000	0.00000	-1.00000	0.19380	0.06335	-1.00000	0.00308	0.00187	-1.00000
143	FMC	HI	scaffold22	10735	-0.00871	0.12885	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.06335	-1.00000	0.00045	0.00187	-1.00000
144	FMC	HI	scaffold22	10738	0.23694	0.12885	-1.00000	0.00000	0.00000	-1.00000	0.07682	0.06335	-1.00000	0.00374	0.00187	-1.00000
149	FMC	HI	scaffold22	15717	0.11891	0.12886	-1.00000	0.00000	0.00000	-1.00000	0.02985	0.06335	-1.00000	0.00134	0.00187	-1.00000
203	FMC	HI	scaffold32	17465	0.42734	0.27148	-1.00000	0.00000	0.00000	-1.00000	0.58350	0.25543	-1.00000	0.00962	0.00388	-1.00000
208	FMC	HI	scaffold32	26538	0.48268	0.27026	-1.00000	0.00000	0.00000	-1.00000	0.31579	0.25422	-1.00000	0.00356	0.00387	-1.00000
235	FMC	HI	scaffold32	63943	0.00986	0.26531	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24944	-1.00000	0.00051	0.00381	-1.00000
239	FMC	HI	scaffold32	69016	0.65011	0.26466	-1.00000	0.00000	0.00000	-1.00000	0.59459	0.24881	-1.00000	0.00493	0.00380	-1.00000
249	FMC	HI	scaffold32	82051	0.45455	0.26299	-1.00000	0.00000	0.00000	-1.00000	0.24065	0.24722	-1.00000	0.00927	0.00378	-1.00000
251	FMC	HI	scaffold32	87844	-0.00871	0.26226	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24653	-1.00000	0.00045	0.00377	-1.00000
254	FMC	HI	scaffold32	91543	-0.00871	0.26180	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24609	-1.00000	0.00045	0.00377	-1.00000
258	FMC	HI	scaffold32	98586	0.84236	0.26092	-1.00000	0.00000	0.00000	-1.00000	0.81159	0.24526	-1.00000	0.00615	0.00376	-1.00000
259	FMC	HI	scaffold32	98589	0.00986	0.26092	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24526	-1.00000	0.00051	0.00376	-1.00000
264	FMC	HI	scaffold32	104158	-0.00871	0.26023	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24461	-1.00000	0.00045	0.00375	-1.00000
265	FMC	HI	scaffold32	105479	0.12872	0.26007	-1.00000	0.00000	0.00000	-1.00000	0.24231	0.24446	-1.00000	0.00803	0.00375	-1.00000
305	FMC	HI	scaffold35	65297	0.85832	0.85832	-1.00000	0.00000	0.00000	-1.00000	0.85849	0.85849	-1.00000	0.00628	0.00628	-1.00000
314	FMC	HI	scaffold36	1729	-0.08018	-0.01787	-1.00000	0.00000	0.00000	-1.00000	-0.03969	-0.01468	-1.00000	0.04636	0.01325	-1.00000
337	FMC	HI	scaffold36	32149	0.00986	-0.01710	-1.00000	0.00000	0.00000	-1.00000	0.00000	-0.01429	-1.00000	0.00051	0.01293	-1.00000
349	FMC	HI	scaffold36	52647	-0.05436	-0.01660	-1.00000	0.00000	0.00000	-1.00000	-0.03867	-0.01403	-1.00000	0.00397	0.01273	-1.00000
351	FMC	HI	scaffold36	55559	-0.07177	-0.01653	-1.00000	0.00000	0.00000	-1.00000	-0.07735	-0.01399	-1.00000	0.02972	0.01270	-1.00000
365	FMC	HI	scaffold36	65440	0.00986	-0.01629	-1.00000	0.00000	0.00000	-1.00000	0.00000	-0.01387	-1.00000	0.00051	0.01260	-1.00000
