# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population SH	SH1,SH2,SH3,SH4,SH5,SH6
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
41	AI	SH	scaffold3	41543	1.00000	0.81093	-1.00000	0.00000	0.00000	-1.00000	1.00000	0.77428	-1.00000	0.00863	0.01027	-1.00000
43	AI	SH	scaffold3	42383	0.57143	0.81092	-1.00000	0.00000	0.00000	-1.00000	0.48837	0.77428	-1.00000	0.01235	0.01027	-1.00000
51	AI	SH	scaffold6	944	0.43606	0.14603	-1.00000	0.00000	0.00000	-1.00000	0.75556	0.27211	-1.00000	0.01255	0.00842	-1.00000
69	AI	SH	scaffold6	18570	-0.00000	0.14416	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.26914	-1.00000	0.00820	0.00838	-1.00000
74	AI	SH	scaffold6	37081	0.02273	0.14221	-1.00000	0.00000	0.00000	-1.00000	0.09589	0.26604	-1.00000	0.00476	0.00835	-1.00000
87	AI	SH	scaffold9	24002	0.16099	0.16099	-1.00000	0.00000	0.00000	-1.00000	0.10256	0.10256	-1.00000	0.00312	0.00312	-1.00000
112	AI	SH	scaffold14	6643	0.00160	0.00160	-1.00000	0.00000	0.00000	-1.00000	0.01359	0.01359	-1.00000	0.00229	0.00229	-1.00000
121	AI	SH	scaffold22	913	0.09091	0.16937	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.09349	-1.00000	0.00119	0.00197	-1.00000
122	AI	SH	scaffold22	1370	0.18182	0.16938	-1.00000	0.00000	0.00000	-1.00000	0.05714	0.09350	-1.00000	0.00178	0.00197	-1.00000
123	AI	SH	scaffold22	1373	0.36508	0.16938	-1.00000	0.00000	0.00000	-1.00000	0.25000	0.09350	-1.00000	0.00359	0.00197	-1.00000
127	AI	SH	scaffold22	2902	-0.00000	0.16939	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.09351	-1.00000	0.00059	0.00197	-1.00000
130	AI	SH	scaffold22	4465	0.01907	0.16940	-1.00000	0.00000	0.00000	-1.00000	0.03883	0.09351	-1.00000	0.00178	0.00197	-1.00000
142	AI	SH	scaffold22	10350	0.36364	0.16945	-1.00000	0.00000	0.00000	-1.00000	0.20619	0.09355	-1.00000	0.00299	0.00197	-1.00000
203	AI	SH	scaffold32	17465	0.51807	0.20842	-1.00000	0.00000	0.00000	-1.00000	0.43299	0.19958	-1.00000	0.00419	0.00336	-1.00000
207	AI	SH	scaffold32	24296	0.52096	0.20695	-1.00000	0.00000	0.00000	-1.00000	0.42400	0.19843	-1.00000	0.00575	0.00335	-1.00000
208	AI	SH	scaffold32	26538	0.21212	0.20647	-1.00000	0.00000	0.00000	-1.00000	0.25000	0.19806	-1.00000	0.00356	0.00335	-1.00000
239	AI	SH	scaffold32	69016	0.00912	0.19760	-1.00000	0.00000	0.00000	-1.00000	0.02941	0.19117	-1.00000	0.00275	0.00331	-1.00000
254	AI	SH	scaffold32	91543	-0.00000	0.19307	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.18768	-1.00000	0.00060	0.00329	-1.00000
256	AI	SH	scaffold32	94893	0.04545	0.19241	-1.00000	0.00000	0.00000	-1.00000	0.01359	0.18717	-1.00000	0.00233	0.00329	-1.00000
258	AI	SH	scaffold32	98586	0.55556	0.19168	-1.00000	0.00000	0.00000	-1.00000	0.45455	0.18661	-1.00000	0.00431	0.00328	-1.00000
259	AI	SH	scaffold32	98589	0.06977	0.19168	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.18661	-1.00000	0.00120	0.00328	-1.00000
265	AI	SH	scaffold32	105479	-0.10714	0.19034	-1.00000	0.00000	0.00000	-1.00000	0.20721	0.18557	-1.00000	0.00719	0.00328	-1.00000
304	AI	SH	scaffold35	63409	0.18089	0.52465	-1.00000	0.00000	0.00000	-1.00000	0.12698	0.50087	-1.00000	0.00711	0.00648	-1.00000
305	AI	SH	scaffold35	65297	0.80296	0.52467	-1.00000	0.00000	0.00000	-1.00000	0.80357	0.50090	-1.00000	0.00598	0.00648	-1.00000
337	AI	SH	scaffold36	32149	0.04382	0.08541	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.02019	-1.00000	0.00120	0.01114	-1.00000
351	AI	SH	scaffold36	55559	-0.07892	0.08646	-1.00000	0.00000	0.00000	-1.00000	-0.08553	0.02061	-1.00000	0.02972	0.01118	-1.00000
368	AI	SH	scaffold36	66123	0.27273	0.08694	-1.00000	0.00000	0.00000	-1.00000	0.12000	0.02080	-1.00000	0.00238	0.01120	-1.00000
378	AI	SH	scaffold38	13929	0.15691	0.15691	-1.00000	0.00000	0.00000	-1.00000	0.05714	0.05714	-1.00000	0.00358	0.00358	-1.00000
397	AI	SH	scaffold43	1261	-0.00000	0.21868	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.16053	-1.00000	0.00059	0.00314	-1.00000
418	AI	SH	scaffold43	30138	-0.00000	0.21496	-1.00000	0.00000	0.00000	-1.00000	-0.01250	0.15807	-1.00000	0.00215	0.00314	-1.00000
430	AI	SH	scaffold43	48001	0.52096	0.21233	-1.00000	0.00000	0.00000	-1.00000	0.42400	0.15633	-1.00000	0.00580	0.00314	-1.00000
439	AI	SH	scaffold43	59190	0.44444	0.21055	-1.00000	0.00000	0.00000	-1.00000	0.40476	0.15517	-1.00000	0.00675	0.00314	-1.00000
442	AI	SH	scaffold43	64696	0.54545	0.20964	-1.00000	0.00000	0.00000	-1.00000	0.43299	0.15457	-1.00000	0.00419	0.00313	-1.00000
447	AI	SH	scaffold43	71768	0.01907	0.20844	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.15379	-1.00000	0.00072	0.00313	-1.00000
458	AI	SH	scaffold43	73451	0.47598	0.20815	-1.00000	0.00000	0.00000	-1.00000	0.30769	0.15360	-1.00000	0.00359	0.00313	-1.00000
463	AI	SH	scaffold43	76662	0.44444	0.20759	-1.00000	0.00000	0.00000	-1.00000	0.31592	0.15323	-1.00000	0.00539	0.00313	-1.00000
478	AI	SH	scaffold43	89264	0.11111	0.20532	-1.00000	0.00000	0.00000	-1.00000	0.02703	0.15175	-1.00000	0.00144	0.00313	-1.00000
480	AI	SH	scaffold43	89648	0.29619	0.20525	-1.00000	0.00000	0.00000	-1.00000	0.08333	0.15171	-1.00000	0.00435	0.00313	-1.00000
489	AI	SH	scaffold43	105339	-0.00000	0.20227	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.14977	-1.00000	0.00059	0.00312	-1.00000
522	AI	SH	scaffold43	154373	-0.00000	0.19204	-1.00000	0.00000	0.00000	-1.00000	-0.00833	0.14317	-1.00000	0.00120	0.00310	-1.00000
549	AI	SH	scaffold43	172300	0.06061	0.18801	-1.00000	0.00000	0.00000	-1.00000	0.00901	0.14058	-1.00000	0.00179	0.00309	-1.00000
556	AI	SH	scaffold43	178847	0.49791	0.18651	-1.00000	0.00000	0.00000	-1.00000	0.65409	0.13961	-1.00000	0.01490	0.00308	-1.00000
573	AI	SH	scaffold43	202796	-0.00000	0.18090	-1.00000	0.00000	0.00000	-1.00000	0.00901	0.13602	-1.00000	0.00120	0.00306	-1.00000
574	AI	SH	scaffold43	202799	-0.00000	0.18090	-1.00000	0.00000	0.00000	-1.00000	-0.00833	0.13602	-1.00000	0.00120	0.00306	-1.00000
585	AI	SH	scaffold43	220773	0.13669	0.17660	-1.00000	0.00000	0.00000	-1.00000	0.08333	0.13327	-1.00000	0.00238	0.00305	-1.00000
625	AI	SH	scaffold47	7779	0.14545	0.11818	-1.00000	0.00000	0.00000	-1.00000	0.15385	0.08585	-1.00000	0.00299	0.00209	-1.00000
626	AI	SH	scaffold47	8290	0.09091	0.11818	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.08585	-1.00000	0.00120	0.00209	-1.00000
638	AI	SH	scaffold48	12075	-0.03733	-0.00862	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00060	0.00062	-1.00000
643	AI	SH	scaffold48	15932	0.00000	-0.00859	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00072	0.00062	-1.00000
659	AI	SH	scaffold48	53228	-0.00000	-0.00826	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00059	0.00062	-1.00000
662	AI	SH	scaffold48	53831	-0.00000	-0.00825	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00060	0.00062	-1.00000
696	AI	SH	scaffold51	3478	0.09091	0.13082	-1.00000	0.00000	0.00000	-1.00000	0.00362	0.04244	-1.00000	0.00239	0.00187	-1.00000
704	AI	SH	scaffold51	8732	0.27273	0.13082	-1.00000	0.00000	0.00000	-1.00000	0.12000	0.04245	-1.00000	0.00239	0.00187	-1.00000
709	AI	SH	scaffold51	10903	0.01907	0.13082	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.04245	-1.00000	0.00071	0.00187	-1.00000
712	AI	SH	scaffold52	2351	-0.00000	-0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00060	0.00060	-1.00000
