# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Population HI	HI1,HI2,HI3,HI4,HI5,HI6,HI7,HI8
# Population PI	PI1,PI2,PI3,PI4,PI5,PI6,PI7,PI8
# Population SC	SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
# Population SH	SH1,SH2,SH3,SH4,SH5,SH6
# Group SOUTH	AI,HI,PI
# Group NORTH	FMC,SC,SH
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
24	scaffold3	20046	-0.03394	0.45450	-1.00000	-0.03731	0.00771	-1.00000	0.34916	0.41188	-1.00000
36	scaffold3	34939	0.58252	0.45630	-1.00000	0.06930	0.00782	-1.00000	-nan	0.41239	-1.00000
41	scaffold3	41543	0.88037	0.45709	-1.00000	0.00830	0.00787	-1.00000	-nan	0.41261	-1.00000
43	scaffold3	42383	0.42586	0.45719	-1.00000	0.00111	0.00788	-1.00000	0.48685	0.41264	-1.00000
51	scaffold6	944	0.32547	0.19378	-1.00000	0.25745	0.03797	-1.00000	0.37451	0.18877	-1.00000
56	scaffold6	6281	0.38457	0.19353	-1.00000	0.03192	0.03774	-1.00000	0.50399	0.18820	-1.00000
64	scaffold6	8063	0.01074	0.19345	-1.00000	-0.04352	0.03766	-1.00000	-nan	0.18801	-1.00000
69	scaffold6	18570	0.05912	0.19296	-1.00000	0.00641	0.03721	-1.00000	0.00923	0.18688	-1.00000
73	scaffold6	30749	0.47939	0.19239	-1.00000	-0.00842	0.03669	-1.00000	-nan	0.18558	-1.00000
74	scaffold6	37081	0.05527	0.19209	-1.00000	-0.03927	0.03642	-1.00000	0.08709	0.18490	-1.00000
75	scaffold6	37084	0.06490	0.19209	-1.00000	0.00386	0.03642	-1.00000	0.00383	0.18490	-1.00000
87	scaffold9	24002	0.06820	0.02331	-1.00000	0.01946	0.00689	-1.00000	0.02084	0.00978	-1.00000
91	scaffold9	31026	0.00234	0.02327	-1.00000	0.00004	0.00688	-1.00000	0.00000	0.00976	-1.00000
93	scaffold9	31611	-0.00668	0.02327	-1.00000	0.00007	0.00688	-1.00000	-nan	0.00976	-1.00000
101	scaffold11	7274	-0.04757	-0.04757	-1.00000	0.05119	0.05119	-1.00000	0.60164	0.60164	-1.00000
111	scaffold14	1031	-0.01063	0.00004	-1.00000	-0.00062	-0.00070	-1.00000	0.00000	0.00367	-1.00000
112	scaffold14	6643	0.01073	0.00005	-1.00000	-0.00077	-0.00070	-1.00000	0.00733	0.00367	-1.00000
121	scaffold22	913	0.10323	0.12734	-1.00000	0.00586	0.00099	-1.00000	0.00532	0.03413	-1.00000
119	scaffold20	938	0.00234	0.12734	-1.00000	0.00004	0.00099	-1.00000	0.00000	0.03413	-1.00000
122	scaffold22	1370	0.08364	0.12734	-1.00000	-0.00057	0.00099	-1.00000	0.01172	0.03413	-1.00000
123	scaffold22	1373	0.36791	0.12734	-1.00000	-0.02250	0.00099	-1.00000	0.11997	0.03413	-1.00000
127	scaffold22	2902	0.01513	0.12735	-1.00000	0.00049	0.00100	-1.00000	-0.00000	0.03413	-1.00000
130	scaffold22	4465	0.09110	0.12735	-1.00000	-0.00377	0.00100	-1.00000	0.01220	0.03414	-1.00000
137	scaffold22	9514	0.00000	0.12736	-1.00000	0.00000	0.00100	-1.00000	-nan	0.03414	-1.00000
138	scaffold22	9517	0.05839	0.12736	-1.00000	0.00263	0.00100	-1.00000	0.00289	0.03414	-1.00000
140	scaffold22	9710	0.00000	0.12736	-1.00000	0.00000	0.00100	-1.00000	-nan	0.03414	-1.00000
141	scaffold22	10347	0.00000	0.12736	-1.00000	0.00000	0.00100	-1.00000	-nan	0.03414	-1.00000
142	scaffold22	10350	0.45258	0.12736	-1.00000	0.00006	0.00100	-1.00000	0.18053	0.03414	-1.00000
143	scaffold22	10735	-0.00835	0.12736	-1.00000	-0.00026	0.00100	-1.00000	0.00000	0.03415	-1.00000
144	scaffold22	10738	0.24969	0.12736	-1.00000	0.02892	0.00100	-1.00000	-nan	0.03415	-1.00000
149	scaffold22	15717	0.09179	0.12738	-1.00000	0.00615	0.00101	-1.00000	0.00816	0.03415	-1.00000
197	scaffold32	9183	0.00195	0.21350	-1.00000	0.00086	0.02054	-1.00000	-nan	0.15339	-1.00000
203	scaffold32	17465	0.39380	0.21290	-1.00000	0.03360	0.02044	-1.00000	0.31006	0.15293	-1.00000
206	scaffold32	24186	0.16407	0.21241	-1.00000	0.06732	0.02035	-1.00000	-nan	0.15256	-1.00000
207	scaffold32	24296	0.52096	0.21240	-1.00000	0.00000	0.02035	-1.00000	-nan	0.15256	-1.00000
208	scaffold32	26538	0.46448	0.21224	-1.00000	-0.00280	0.02032	-1.00000	0.21418	0.15243	-1.00000
235	scaffold32	63943	0.00234	0.20954	-1.00000	0.00004	0.01981	-1.00000	0.00000	0.15049	-1.00000
239	scaffold32	69016	0.48297	0.20917	-1.00000	0.14921	0.01974	-1.00000	0.16799	0.15024	-1.00000
249	scaffold32	82051	0.46104	0.20824	-1.00000	0.04786	0.01955	-1.00000	0.48110	0.14961	-1.00000
251	scaffold32	87844	-0.01479	0.20782	-1.00000	-0.00251	0.01947	-1.00000	-0.00054	0.14934	-1.00000
254	scaffold32	91543	-0.03292	0.20756	-1.00000	-0.00174	0.01942	-1.00000	-0.00205	0.14916	-1.00000
256	scaffold32	94893	0.05991	0.20732	-1.00000	0.01200	0.01937	-1.00000	0.00969	0.14901	-1.00000
258	scaffold32	98586	0.85624	0.20705	-1.00000	0.02918	0.01931	-1.00000	0.48398	0.14884	-1.00000
259	scaffold32	98589	0.04954	0.20705	-1.00000	0.00032	0.01931	-1.00000	0.00248	0.14884	-1.00000
264	scaffold32	104158	-0.00835	0.20666	-1.00000	-0.00136	0.01923	-1.00000	-0.00027	0.14859	-1.00000
265	scaffold32	105479	0.04997	0.20656	-1.00000	-0.06037	0.01921	-1.00000	0.38580	0.14853	-1.00000
299	scaffold35	41034	0.13333	0.48271	-1.00000	0.01552	0.00572	-1.00000	-nan	0.51806	-1.00000
304	scaffold35	63409	0.14652	0.48530	-1.00000	0.01643	0.00565	-1.00000	-nan	0.51806	-1.00000
305	scaffold35	65297	0.87472	0.48552	-1.00000	-0.00594	0.00564	-1.00000	0.51806	0.51806	-1.00000
314	scaffold36	1729	-0.08392	0.00258	-1.00000	-0.12340	-0.02979	-1.00000	0.48868	0.13405	-1.00000
337	scaffold36	32149	0.06518	0.00326	-1.00000	0.00608	-0.02912	-1.00000	0.00460	0.13126	-1.00000
348	scaffold36	52644	-0.03604	0.00371	-1.00000	0.02187	-0.02869	-1.00000	0.48333	0.12945	-1.00000
349	scaffold36	52647	-0.06863	0.00371	-1.00000	-0.06358	-0.02869	-1.00000	0.38006	0.12945	-1.00000
351	scaffold36	55559	-0.07372	0.00377	-1.00000	-0.07977	-0.02863	-1.00000	-0.07500	0.12920	-1.00000
365	scaffold36	65440	0.00234	0.00398	-1.00000	0.00004	-0.02842	-1.00000	0.00000	0.12835	-1.00000
366	scaffold36	65443	-0.05504	0.00398	-1.00000	0.00079	-0.02842	-1.00000	-nan	0.12835	-1.00000
