# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population HI	HI1,HI2,HI3,HI4,HI5,HI6,HI7,HI8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	AI	HI	scaffold3	20046	0.04545	0.04545	-1.00000	0.04348	0.04348	-1.00000	0.09589	0.09589	-1.00000	0.01821	0.01821	-1.00000
51	AI	HI	scaffold6	944	0.65784	0.17686	-1.00000	0.56174	0.13511	-1.00000	0.56000	0.13619	-1.00000	0.00475	0.00765	-1.00000
56	AI	HI	scaffold6	6281	0.02956	0.17624	-1.00000	0.03128	0.13455	-1.00000	0.03213	0.13564	-1.00000	0.00374	0.00765	-1.00000
69	AI	HI	scaffold6	18570	0.10280	0.17480	-1.00000	0.02576	0.13328	-1.00000	0.02985	0.13437	-1.00000	0.01845	0.00766	-1.00000
74	AI	HI	scaffold6	37081	-0.05436	0.17264	-1.00000	-0.05295	0.13136	-1.00000	-0.05203	0.13246	-1.00000	0.00341	0.00766	-1.00000
87	AI	HI	scaffold9	24002	-0.01158	-0.01158	-1.00000	-0.00095	-0.00095	-1.00000	0.00000	0.00000	-1.00000	0.00059	0.00059	-1.00000
101	AI	HI	scaffold11	7274	-0.03408	-0.03408	-1.00000	0.09506	0.09506	-1.00000	0.09881	0.09881	-1.00000	0.02060	0.02060	-1.00000
112	AI	HI	scaffold14	6643	-0.08791	-0.08791	-1.00000	-0.01619	-0.01619	-1.00000	0.00916	0.00916	-1.00000	0.00222	0.00222	-1.00000
121	AI	HI	scaffold22	913	0.12568	0.11085	-1.00000	0.02164	0.04732	-1.00000	0.01786	0.05502	-1.00000	0.00119	0.00213	-1.00000
122	AI	HI	scaffold22	1370	0.06583	0.11086	-1.00000	0.02347	0.04732	-1.00000	0.01938	0.05502	-1.00000	0.00200	0.00213	-1.00000
130	AI	HI	scaffold22	4465	-0.08791	0.11088	-1.00000	-0.01619	0.04733	-1.00000	-0.04257	0.05504	-1.00000	0.00260	0.00213	-1.00000
137	AI	HI	scaffold22	9514	0.56989	0.11092	-1.00000	0.30636	0.04735	-1.00000	0.50376	0.05507	-1.00000	0.00550	0.00213	-1.00000
143	AI	HI	scaffold22	10735	-0.01911	0.11092	-1.00000	-0.00144	0.04736	-1.00000	0.00000	0.05508	-1.00000	0.00045	0.00213	-1.00000
144	AI	HI	scaffold22	10738	0.23694	0.11092	-1.00000	0.10057	0.04736	-1.00000	0.07682	0.05508	-1.00000	0.00374	0.00213	-1.00000
149	AI	HI	scaffold22	15717	0.10280	0.11096	-1.00000	0.02576	0.04738	-1.00000	0.02985	0.05511	-1.00000	0.00134	0.00213	-1.00000
197	AI	HI	scaffold32	9183	0.02493	0.11902	-1.00000	0.00196	0.09448	-1.00000	0.00000	0.09387	-1.00000	0.00060	0.00283	-1.00000
203	AI	HI	scaffold32	17465	-0.05343	0.11881	-1.00000	-0.04895	0.09432	-1.00000	-0.05056	0.09357	-1.00000	0.00336	0.00283	-1.00000
206	AI	HI	scaffold32	24186	0.34935	0.11864	-1.00000	0.27575	0.09418	-1.00000	0.33735	0.09332	-1.00000	0.00407	0.00283	-1.00000
239	AI	HI	scaffold32	69016	0.50419	0.11733	-1.00000	0.49769	0.09311	-1.00000	0.50000	0.09152	-1.00000	0.00471	0.00283	-1.00000
249	AI	HI	scaffold32	82051	0.42108	0.11690	-1.00000	0.25996	0.09274	-1.00000	0.18750	0.09095	-1.00000	0.00939	0.00283	-1.00000
251	AI	HI	scaffold32	87844	-0.01911	0.11670	-1.00000	-0.00144	0.09258	-1.00000	0.00000	0.09070	-1.00000	0.00045	0.00283	-1.00000
254	AI	HI	scaffold32	91543	-0.07512	0.11657	-1.00000	-0.01166	0.09247	-1.00000	-0.01220	0.09053	-1.00000	0.00097	0.00283	-1.00000
256	AI	HI	scaffold32	94893	0.02493	0.11645	-1.00000	0.00196	0.09237	-1.00000	0.00000	0.09038	-1.00000	0.00058	0.00283	-1.00000
259	AI	HI	scaffold32	98589	0.12568	0.11632	-1.00000	0.02164	0.09226	-1.00000	0.01786	0.09021	-1.00000	0.00120	0.00283	-1.00000
264	AI	HI	scaffold32	104158	-0.01911	0.11612	-1.00000	-0.00144	0.09208	-1.00000	0.00000	0.08996	-1.00000	0.00045	0.00283	-1.00000
265	AI	HI	scaffold32	105479	0.09137	0.11607	-1.00000	0.06980	0.09204	-1.00000	0.04728	0.08990	-1.00000	0.00923	0.00283	-1.00000
299	AI	HI	scaffold35	41034	0.17949	0.05023	-1.00000	0.03518	0.00475	-1.00000	0.08333	0.02752	-1.00000	0.00239	0.00208	-1.00000
305	AI	HI	scaffold35	65297	-0.07102	0.04860	-1.00000	-0.02379	0.00437	-1.00000	-0.02484	0.02681	-1.00000	0.00179	0.00208	-1.00000
314	AI	HI	scaffold36	1729	-0.10092	-0.02150	-1.00000	-0.11214	-0.04921	-1.00000	-0.17021	-0.06006	-1.00000	0.04654	0.01570	-1.00000
337	AI	HI	scaffold36	32149	0.12568	-0.02150	-1.00000	0.02164	-0.04887	-1.00000	0.01786	-0.05918	-1.00000	0.00120	0.01540	-1.00000
349	AI	HI	scaffold36	52647	-0.05436	-0.02152	-1.00000	-0.05295	-0.04865	-1.00000	-0.05203	-0.05861	-1.00000	0.00344	0.01520	-1.00000
