# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Population SC	SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	FMC	SC	scaffold3	20046	-0.08387	0.06727	-1.00000	-0.09150	0.04045	-1.00000	0.01515	0.09832	-1.00000	0.01821	0.00771	-1.00000
36	FMC	SC	scaffold3	34939	0.19217	0.06778	-1.00000	0.20351	0.04082	-1.00000	0.28074	0.09844	-1.00000	0.00487	0.00766	-1.00000
41	FMC	SC	scaffold3	41543	0.09066	0.06801	-1.00000	0.01404	0.04098	-1.00000	0.01266	0.09850	-1.00000	0.00103	0.00765	-1.00000
51	FMC	SC	scaffold6	944	-0.00219	-0.02799	-1.00000	0.01340	-0.00855	-1.00000	0.03742	0.00289	-1.00000	0.00785	0.00718	-1.00000
56	FMC	SC	scaffold6	6281	-0.07108	-0.02802	-1.00000	-0.01021	-0.00860	-1.00000	-0.01031	0.00282	-1.00000	0.00090	0.00718	-1.00000
69	FMC	SC	scaffold6	18570	0.02493	-0.02807	-1.00000	0.00196	-0.00872	-1.00000	0.02721	0.00266	-1.00000	0.01456	0.00719	-1.00000
74	FMC	SC	scaffold6	37081	-0.05694	-0.02816	-1.00000	-0.03633	-0.00890	-1.00000	-0.03733	0.00242	-1.00000	0.00600	0.00720	-1.00000
87	FMC	SC	scaffold9	24002	0.01335	0.01091	-1.00000	0.00113	0.00084	-1.00000	0.00000	0.00000	-1.00000	0.00069	0.00057	-1.00000
91	FMC	SC	scaffold9	31026	0.00986	0.01091	-1.00000	0.00071	0.00084	-1.00000	0.00000	0.00000	-1.00000	0.00051	0.00057	-1.00000
93	FMC	SC	scaffold9	31611	0.00986	0.01091	-1.00000	0.00071	0.00084	-1.00000	0.00000	0.00000	-1.00000	0.00051	0.00057	-1.00000
101	FMC	SC	scaffold11	7274	-0.05838	-0.05838	-1.00000	0.00953	0.00953	-1.00000	0.04412	0.04412	-1.00000	0.02196	0.02196	-1.00000
111	FMC	SC	scaffold14	1031	-0.01911	-0.01911	-1.00000	-0.00144	-0.00144	-1.00000	0.00000	0.00000	-1.00000	0.00045	0.00045	-1.00000
119	FMC	SC	scaffold20	938	0.00986	-0.00804	-1.00000	0.00071	-0.01243	-1.00000	0.00000	-0.01173	-1.00000	0.00051	0.00244	-1.00000
122	FMC	SC	scaffold22	1370	0.00986	-0.00804	-1.00000	0.00071	-0.01243	-1.00000	0.00000	-0.01173	-1.00000	0.00051	0.00244	-1.00000
123	FMC	SC	scaffold22	1373	-0.06538	-0.00804	-1.00000	-0.06469	-0.01243	-1.00000	-0.06497	-0.01173	-1.00000	0.00346	0.00244	-1.00000
