# Population HI	HI1,HI2,HI3,HI4,HI5,HI6,HI7,HI8
# Population SC	SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	HI	SC	scaffold3	20046	0.04545	0.04545	-1.00000	0.00000	0.00000	-1.00000	-0.01852	-0.01852	-1.00000	0.01912	0.01912	-1.00000
51	HI	SC	scaffold6	944	0.09231	0.16861	-1.00000	0.00000	0.00000	-1.00000	0.15625	0.16083	-1.00000	0.00402	0.00805	-1.00000
56	HI	SC	scaffold6	6281	0.35000	0.16845	-1.00000	0.00000	0.00000	-1.00000	0.21875	0.16087	-1.00000	0.00359	0.00806	-1.00000
69	HI	SC	scaffold6	18570	0.13333	0.16809	-1.00000	0.00000	0.00000	-1.00000	0.02985	0.16099	-1.00000	0.01845	0.00807	-1.00000
74	HI	SC	scaffold6	37081	0.08647	0.16754	-1.00000	0.00000	0.00000	-1.00000	0.23924	0.16116	-1.00000	0.00563	0.00808	-1.00000
87	HI	SC	scaffold9	24002	-0.00000	-0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00059	0.00059	-1.00000
101	HI	SC	scaffold11	7274	-0.03176	-0.03176	-1.00000	0.00000	0.00000	-1.00000	0.26353	0.26353	-1.00000	0.02394	0.02394	-1.00000
111	HI	SC	scaffold14	1031	0.00000	-0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00000	-0.00034	-1.00000	0.00045	0.00087	-1.00000
112	HI	SC	scaffold14	6643	-0.00000	-0.00000	-1.00000	0.00000	0.00000	-1.00000	-0.00073	-0.00034	-1.00000	0.00135	0.00087	-1.00000
122	HI	SC	scaffold22	1370	0.00000	0.17762	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.11190	-1.00000	0.00045	0.00205	-1.00000
123	HI	SC	scaffold22	1373	0.33333	0.17762	-1.00000	0.00000	0.00000	-1.00000	0.16667	0.11190	-1.00000	0.00269	0.00205	-1.00000
130	HI	SC	scaffold22	4465	0.00986	0.17764	-1.00000	0.00000	0.00000	-1.00000	0.02010	0.11191	-1.00000	0.00134	0.00205	-1.00000
142	HI	SC	scaffold22	10350	0.60000	0.17767	-1.00000	0.00000	0.00000	-1.00000	0.50000	0.11193	-1.00000	0.00449	0.00205	-1.00000
143	HI	SC	scaffold22	10735	0.00000	0.17767	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.11194	-1.00000	0.00045	0.00205	-1.00000
144	HI	SC	scaffold22	10738	0.15099	0.17767	-1.00000	0.00000	0.00000	-1.00000	0.04850	0.11194	-1.00000	0.00391	0.00205	-1.00000
149	HI	SC	scaffold22	15717	0.13333	0.17770	-1.00000	0.00000	0.00000	-1.00000	0.02985	0.11195	-1.00000	0.00134	0.00205	-1.00000
203	HI	SC	scaffold32	17465	0.40460	0.32344	-1.00000	0.00000	0.00000	-1.00000	0.64623	0.33415	-1.00000	0.01313	0.00504	-1.00000
208	HI	SC	scaffold32	26538	0.60000	0.32178	-1.00000	0.00000	0.00000	-1.00000	0.50000	0.33217	-1.00000	0.00445	0.00501	-1.00000
239	HI	SC	scaffold32	69016	0.65011	0.31419	-1.00000	0.00000	0.00000	-1.00000	0.58201	0.32321	-1.00000	0.00584	0.00487	-1.00000
249	HI	SC	scaffold32	82051	0.54545	0.31192	-1.00000	0.00000	0.00000	-1.00000	0.38702	0.32056	-1.00000	0.01003	0.00483	-1.00000
251	HI	SC	scaffold32	87844	-0.00871	0.31092	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.31940	-1.00000	0.00045	0.00482	-1.00000
254	HI	SC	scaffold32	91543	-0.06667	0.31028	-1.00000	0.00000	0.00000	-1.00000	-0.00893	0.31866	-1.00000	0.00084	0.00481	-1.00000
258	HI	SC	scaffold32	98586	1.00000	0.30907	-1.00000	0.00000	0.00000	-1.00000	1.00000	0.31727	-1.00000	0.00718	0.00478	-1.00000
259	HI	SC	scaffold32	98589	0.00000	0.30907	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.31726	-1.00000	0.00045	0.00478	-1.00000
264	HI	SC	scaffold32	104158	0.00000	0.30813	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.31617	-1.00000	0.00045	0.00477	-1.00000
265	HI	SC	scaffold32	105479	0.11888	0.30790	-1.00000	0.00000	0.00000	-1.00000	0.20956	0.31591	-1.00000	0.00860	0.00476	-1.00000
305	HI	SC	scaffold35	65297	0.86667	0.86667	-1.00000	0.00000	0.00000	-1.00000	0.85849	0.85849	-1.00000	0.00628	0.00628	-1.00000
314	HI	SC	scaffold36	1729	-0.08018	-0.02505	-1.00000	0.00000	0.00000	-1.00000	-0.11328	-0.04065	-1.00000	0.04647	0.02067	-1.00000
