# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population PI	PI1,PI2,PI3,PI4,PI5,PI6,PI7,PI8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	AI	PI	scaffold3	20046	-0.07020	0.00997	-1.00000	-0.07528	-0.02624	-1.00000	-0.07579	-0.00737	-1.00000	0.01456	0.01007	-1.00000
41	AI	PI	scaffold3	41543	0.06145	0.01062	-1.00000	0.01079	-0.02584	-1.00000	0.01266	-0.00680	-1.00000	0.00103	0.01004	-1.00000
43	AI	PI	scaffold3	42383	0.06293	0.01065	-1.00000	-0.00198	-0.02582	-1.00000	0.07303	-0.00678	-1.00000	0.01616	0.01003	-1.00000
51	AI	PI	scaffold6	944	0.44155	0.10937	-1.00000	0.41737	0.10143	-1.00000	0.41489	0.10740	-1.00000	0.00445	0.00304	-1.00000
56	AI	PI	scaffold6	6281	0.19217	0.10906	-1.00000	0.20351	0.10107	-1.00000	0.20927	0.10703	-1.00000	0.00449	0.00304	-1.00000
64	AI	PI	scaffold6	8063	-0.07273	0.10895	-1.00000	-0.05479	0.10095	-1.00000	-0.02509	0.10691	-1.00000	0.00359	0.00304	-1.00000
69	AI	PI	scaffold6	18570	-0.01911	0.10833	-1.00000	-0.00144	0.10024	-1.00000	0.00000	0.10618	-1.00000	0.00045	0.00303	-1.00000
74	AI	PI	scaffold6	37081	0.02377	0.10725	-1.00000	0.00489	0.09899	-1.00000	0.00738	0.10491	-1.00000	0.00416	0.00302	-1.00000
75	AI	PI	scaffold6	37084	0.06145	0.10725	-1.00000	0.01079	0.09899	-1.00000	0.01266	0.10491	-1.00000	0.00112	0.00302	-1.00000
112	AI	PI	scaffold14	6643	0.04950	0.04950	-1.00000	0.00432	0.00432	-1.00000	0.03883	0.03883	-1.00000	0.00179	0.00179	-1.00000
121	AI	PI	scaffold22	913	0.12568	0.05715	-1.00000	0.02164	0.01534	-1.00000	0.01786	0.01112	-1.00000	0.00119	0.00177	-1.00000
122	AI	PI	scaffold22	1370	-0.02196	0.05715	-1.00000	-0.02443	0.01534	-1.00000	-0.02562	0.01112	-1.00000	0.00267	0.00177	-1.00000
130	AI	PI	scaffold22	4465	-0.04341	0.05716	-1.00000	-0.01720	0.01535	-1.00000	-0.04932	0.01114	-1.00000	0.00319	0.00177	-1.00000
138	AI	PI	scaffold22	9517	0.04137	0.05717	-1.00000	0.00660	0.01536	-1.00000	0.00943	0.01115	-1.00000	0.00089	0.00177	-1.00000
141	AI	PI	scaffold22	10347	0.04382	0.05717	-1.00000	0.01008	0.01536	-1.00000	0.01786	0.01116	-1.00000	0.00120	0.00177	-1.00000
144	AI	PI	scaffold22	10738	0.25481	0.05717	-1.00000	0.10583	0.01537	-1.00000	0.10082	0.01116	-1.00000	0.00284	0.00177	-1.00000
149	AI	PI	scaffold22	15717	-0.01911	0.05718	-1.00000	-0.00144	0.01538	-1.00000	0.00000	0.01118	-1.00000	0.00045	0.00177	-1.00000
197	AI	PI	scaffold32	9183	0.02493	-0.00879	-1.00000	0.00196	-0.00172	-1.00000	0.00000	-0.00202	-1.00000	0.00060	0.00225	-1.00000
203	AI	PI	scaffold32	17465	-0.07769	-0.00878	-1.00000	-0.08046	-0.00157	-1.00000	-0.08059	-0.00199	-1.00000	0.00351	0.00224	-1.00000
206	AI	PI	scaffold32	24186	0.02876	-0.00876	-1.00000	0.02619	-0.00146	-1.00000	0.07953	-0.00196	-1.00000	0.00524	0.00224	-1.00000
239	AI	PI	scaffold32	69016	-0.06889	-0.00867	-1.00000	-0.01654	-0.00072	-1.00000	-0.01562	-0.00179	-1.00000	0.00135	0.00220	-1.00000
