# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	AI	FMC	scaffold3	20046	-0.08387	0.52577	-1.00000	0.00000	0.00000	-1.00000	-0.09160	0.52860	-1.00000	0.01456	0.00938	-1.00000
36	AI	FMC	scaffold3	34939	0.67379	0.52788	-1.00000	0.00000	0.00000	-1.00000	0.63380	0.53079	-1.00000	0.00513	0.00937	-1.00000
41	AI	FMC	scaffold3	41543	0.87601	0.52882	-1.00000	0.00000	0.00000	-1.00000	1.00000	0.53176	-1.00000	0.00821	0.00936	-1.00000
43	AI	FMC	scaffold3	42383	0.66500	0.52893	-1.00000	0.00000	0.00000	-1.00000	0.58750	0.53189	-1.00000	0.00963	0.00936	-1.00000
51	AI	FMC	scaffold6	944	0.47273	0.22379	-1.00000	0.00000	0.00000	-1.00000	0.68544	0.24395	-1.00000	0.01040	0.00687	-1.00000
56	AI	FMC	scaffold6	6281	0.58730	0.22336	-1.00000	0.00000	0.00000	-1.00000	0.54890	0.24336	-1.00000	0.00530	0.00686	-1.00000
64	AI	FMC	scaffold6	8063	-0.02066	0.22322	-1.00000	0.00000	0.00000	-1.00000	-0.01316	0.24317	-1.00000	0.00299	0.00686	-1.00000
69	AI	FMC	scaffold6	18570	-0.00000	0.22238	-1.00000	0.00000	0.00000	-1.00000	0.02721	0.24201	-1.00000	0.01456	0.00685	-1.00000
73	AI	FMC	scaffold6	30749	0.27273	0.22140	-1.00000	0.00000	0.00000	-1.00000	0.17460	0.24067	-1.00000	0.00308	0.00685	-1.00000
74	AI	FMC	scaffold6	37081	-0.00976	0.22089	-1.00000	0.00000	0.00000	-1.00000	0.00244	0.23998	-1.00000	0.00476	0.00684	-1.00000
87	AI	FMC	scaffold9	24002	-0.00000	-0.00793	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00069	0.00057	-1.00000
91	AI	FMC	scaffold9	31026	-0.01158	-0.00793	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00051	0.00057	-1.00000
93	AI	FMC	scaffold9	31611	-0.01158	-0.00793	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	-1.00000	0.00051	0.00057	-1.00000
101	AI	FMC	scaffold11	7274	-0.08387	-0.08387	-1.00000	0.00000	0.00000	-1.00000	-0.09160	-0.09160	-1.00000	0.01830	0.01830	-1.00000
112	AI	FMC	scaffold14	6643	0.03522	0.03522	-1.00000	0.00000	0.00000	-1.00000	0.03883	0.03883	-1.00000	0.00179	0.00179	-1.00000
121	AI	FMC	scaffold22	913	0.10923	0.14723	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.07671	-1.00000	0.00119	0.00228	-1.00000
119	AI	FMC	scaffold20	938	-0.01158	0.14723	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.07671	-1.00000	0.00051	0.00228	-1.00000
122	AI	FMC	scaffold22	1370	0.15099	0.14723	-1.00000	0.00000	0.00000	-1.00000	0.03812	0.07671	-1.00000	0.00229	0.00228	-1.00000
123	AI	FMC	scaffold22	1373	0.36122	0.14723	-1.00000	0.00000	0.00000	-1.00000	0.22388	0.07671	-1.00000	0.00308	0.00228	-1.00000
130	AI	FMC	scaffold22	4465	0.00000	0.14724	-1.00000	0.00000	0.00000	-1.00000	-0.03815	0.07673	-1.00000	0.00247	0.00228	-1.00000
140	AI	FMC	scaffold22	9710	0.00000	0.14726	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.07675	-1.00000	0.00071	0.00228	-1.00000
142	AI	FMC	scaffold22	10350	0.23480	0.14726	-1.00000	0.00000	0.00000	-1.00000	0.19380	0.07676	-1.00000	0.00308	0.00228	-1.00000
144	AI	FMC	scaffold22	10738	0.27273	0.14727	-1.00000	0.00000	0.00000	-1.00000	0.13725	0.07676	-1.00000	0.00479	0.00228	-1.00000
197	AI	FMC	scaffold32	9183	-0.01617	0.18591	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.18394	-1.00000	0.00060	0.00376	-1.00000
203	AI	FMC	scaffold32	17465	0.33197	0.18537	-1.00000	0.00000	0.00000	-1.00000	0.40856	0.18346	-1.00000	0.00887	0.00375	-1.00000
206	AI	FMC	scaffold32	24186	0.32476	0.18492	-1.00000	0.00000	0.00000	-1.00000	0.33735	0.18307	-1.00000	0.00407	0.00375	-1.00000
208	AI	FMC	scaffold32	26538	0.43813	0.18477	-1.00000	0.00000	0.00000	-1.00000	0.31579	0.18293	-1.00000	0.00356	0.00375	-1.00000
235	AI	FMC	scaffold32	63943	-0.01158	0.18234	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.18085	-1.00000	0.00051	0.00374	-1.00000
239	AI	FMC	scaffold32	69016	0.01335	0.18202	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.18058	-1.00000	0.00060	0.00374	-1.00000
249	AI	FMC	scaffold32	82051	0.40200	0.18119	-1.00000	0.00000	0.00000	-1.00000	0.31301	0.17988	-1.00000	0.01343	0.00374	-1.00000
254	AI	FMC	scaffold32	91543	0.01335	0.18059	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.17939	-1.00000	0.00060	0.00374	-1.00000
256	AI	FMC	scaffold32	94893	0.01335	0.18038	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.17922	-1.00000	0.00058	0.00374	-1.00000
258	AI	FMC	scaffold32	98586	0.80296	0.18015	-1.00000	0.00000	0.00000	-1.00000	0.81159	0.17903	-1.00000	0.00615	0.00374	-1.00000
259	AI	FMC	scaffold32	98589	0.06946	0.18015	-1.00000	0.00000	0.00000	-1.00000	0.00418	0.17903	-1.00000	0.00171	0.00374	-1.00000
