# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population SC	SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
24	AI	SC	scaffold3	20046	-0.09091	0.48773	-1.00000	0.00000	0.00000	-1.00000	0.00602	0.48185	-1.00000	0.01821	0.00956	-1.00000
36	AI	SC	scaffold3	34939	0.27273	0.48996	-1.00000	0.00000	0.00000	-1.00000	0.25000	0.48374	-1.00000	0.00359	0.00954	-1.00000
41	AI	SC	scaffold3	41543	1.00000	0.49095	-1.00000	0.00000	0.00000	-1.00000	1.00000	0.48457	-1.00000	0.00718	0.00953	-1.00000
43	AI	SC	scaffold3	42383	0.68730	0.49107	-1.00000	0.00000	0.00000	-1.00000	0.58750	0.48468	-1.00000	0.00963	0.00953	-1.00000
51	AI	SC	scaffold6	944	0.44308	0.37023	-1.00000	0.00000	0.00000	-1.00000	0.55804	0.41274	-1.00000	0.00879	0.00641	-1.00000
56	AI	SC	scaffold6	6281	0.60696	0.36943	-1.00000	0.00000	0.00000	-1.00000	0.55041	0.41200	-1.00000	0.00524	0.00641	-1.00000
74	AI	SC	scaffold6	37081	0.05725	0.36479	-1.00000	0.00000	0.00000	-1.00000	0.13262	0.40765	-1.00000	0.00536	0.00639	-1.00000
101	AI	SC	scaffold11	7274	-0.06534	-0.06534	-1.00000	0.00000	0.00000	-1.00000	0.03509	0.03509	-1.00000	0.02196	0.02196	-1.00000
111	AI	SC	scaffold14	1031	-0.01911	0.00587	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.00512	-1.00000	0.00045	0.00145	-1.00000
112	AI	SC	scaffold14	6643	0.03522	0.00589	-1.00000	0.00000	0.00000	-1.00000	0.01113	0.00512	-1.00000	0.00262	0.00145	-1.00000
121	AI	SC	scaffold22	913	0.12568	0.25071	-1.00000	0.00000	0.00000	-1.00000	0.01786	0.14956	-1.00000	0.00119	0.00277	-1.00000
122	AI	SC	scaffold22	1370	0.22372	0.25072	-1.00000	0.00000	0.00000	-1.00000	0.05714	0.14957	-1.00000	0.00178	0.00277	-1.00000
123	AI	SC	scaffold22	1373	0.29308	0.25072	-1.00000	0.00000	0.00000	-1.00000	0.16667	0.14957	-1.00000	0.00269	0.00277	-1.00000
130	AI	SC	scaffold22	4465	0.04950	0.25077	-1.00000	0.00000	0.00000	-1.00000	0.03883	0.14963	-1.00000	0.00178	0.00277	-1.00000
142	AI	SC	scaffold22	10350	0.56164	0.25087	-1.00000	0.00000	0.00000	-1.00000	0.50000	0.14974	-1.00000	0.00449	0.00277	-1.00000
144	AI	SC	scaffold22	10738	0.23377	0.25087	-1.00000	0.00000	0.00000	-1.00000	0.10220	0.14975	-1.00000	0.00496	0.00277	-1.00000
197	AI	SC	scaffold32	9183	0.01335	0.23421	-1.00000	0.00000	0.00000	-1.00000	0.00000	0.24928	-1.00000	0.00060	0.00470	-1.00000
203	AI	SC	scaffold32	17465	0.32511	0.23356	-1.00000	0.00000	0.00000	-1.00000	0.48646	0.24863	-1.00000	0.01237	0.00470	-1.00000
206	AI	SC	scaffold32	24186	0.34935	0.23303	-1.00000	0.00000	0.00000	-1.00000	0.33735	0.24811	-1.00000	0.00407	0.00469	-1.00000
208	AI	SC	scaffold32	26538	0.56164	0.23285	-1.00000	0.00000	0.00000	-1.00000	0.50000	0.24793	-1.00000	0.00445	0.00469	-1.00000
239	AI	SC	scaffold32	69016	0.01335	0.22948	-1.00000	0.00000	0.00000	-1.00000	-0.00260	0.24465	-1.00000	0.00150	0.00465	-1.00000
249	AI	SC	scaffold32	82051	0.46630	0.22845	-1.00000	0.00000	0.00000	-1.00000	0.41071	0.24366	-1.00000	0.01428	0.00463	-1.00000
